"time/month","title_name","title_img","artist","album","title_gaon_index","title_ranking","title_production","title_circulation"
"201801","주지마","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/4D6FC8D97AC142C2B9305C836AAB6FF6.png","LOCO,华莎","건반 위의 하이에나 Part.4","191,515,359","1","한국방송공사","로엔엔터테인먼트"
"201801","지나오다","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/1103DDB742B34CEC962A03E2457DD8F3.png","Nilo","About You","157,553,899","2","닐로 컴퍼니","퍼플파인 엔터테인먼트"
"201801","밤 (Time for the moon night)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/C4D70611F5C54CCB80048F3662C358FD.png","GFRIEND","여자친구 The 6th Mini Album `Time for the ...","155,325,483","3","쏘스뮤직","로엔엔터테인먼트"
"201801","You","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/C0B3AFE5AB154E43AA32182527EF554E.png","MeloMance","투유 프로젝트 - 슈가맨2 Part.2","138,857,288","4","JTBC","인터파크"
"201801","What is Love?","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/EEA74F5460484A3DA8568482DCFF8D56.png","TWICE","What is Love?","131,892,416","5","JYP Entertainment","IRIVER"
"201801","잊을만하면","","CRUSH","잊을만하면","124,745,959","6","아메바컬쳐","Stone Music Entertainment"
"201801","사랑을 했다 (LOVE SCENARIO)","","iKON","Return","118,128,157","7","YG Entertainment","지니뮤직"
"201801","붕붕 (Feat. Sik-K) (Prod. GroovyRoom)","","HAON","고등래퍼2 Final","116,574,813","8","Stone Music Entertainment","Stone Music Entertainment"
"201801","FAKE LOVE","","防弹少年团","LOVE YOURSELF 轉 `Tear`","112,425,344","9","Big Hit Entertainment","IRIVER"
"201801","별이 빛나는 밤","","Mamamoo","Yellow Flower","104,632,054","10","RBW","로엔엔터테인먼트"
"201801","뿜뿜","","MOMOLAND","GREAT!","101,611,524","11","엠엘디엔터테인먼트,로엔엔터테인먼트","로엔엔터테인먼트"
"201801","My Way","","李秀","돈꽃 OST Part 1","98,868,124","12","윈드밀이엔티, 뮤직버디","뮤직앤뉴"
"201801","욕심","","MeloMance","욕심","97,652,129","13","민트페이퍼, 광합성","로엔엔터테인먼트"
"201801","그날처럼","","장덕철","그날처럼","94,227,603","14","리메즈","로엔엔터테인먼트"
"201801","꽃 길","","BIGBANG","꽃 길","90,130,586","15","YG Entertainment","지니뮤직"
"201801","소나기 (Feat. 10cm)","","龙俊亨","소나기","90,070,070","16","어라운드 어스","로엔엔터테인먼트"
"201801","그때 헤어지면 돼","","Roy Kim","그때 헤어지면 돼","89,427,043","17","Stone Music Entertainment, MMO Entertainment","Stone Music Entertainment"
"201801","EVERYDAY","","WINNER","EVERYD4Y","87,478,631","18","YG Entertainment","지니뮤직"
"201801","여행","","脸红的思春期","Red Diary Page.2","87,263,931","19","쇼파르뮤직","로엔엔터테인먼트"
"201801","바코드 (Prod. GroovyRoom)","","HAON, Vinxen","고등래퍼2 팀대항전 Part 3","82,170,866","20","Stone Music Entertainment","Stone Music Entertainment"
"201801","선물","","MeloMance","Moonlight","79,848,648","21","민트페이퍼, 광합성","로엔엔터테인먼트"
"201801","Roller Coaster","","请夏","Offset","79,299,452","22","MNH Entertainment","Stone Music Entertainment"
"201801","모든 날, 모든 순간 (Every day, Every Moment)","","폴킴","`키스 먼저 할까요?` OST Part 3","79,117,129","23","S.M. Entertainment","IRIVER"
"201801","LATATA","","(G)I-DLE","I am","69,363,491","24","큐브엔터테인먼트","로엔엔터테인먼트"
"201801","북 (Prod.SLO)","","배연서 (WEBSTER B), 오담률 (CHIN CHILLA)","고등래퍼2 팀대항전 Part 1","62,166,058","25","Stone Music Entertainment","Stone Music Entertainment"
"201801","비행운","","MoonMoon","LIFE IS BEAUTY FULL","61,935,875","26","덕선레코드","미러볼뮤직"
"201801","넋두리","","Nilo","넋두리","61,679,661","27","닐로엔터테인먼트","퍼플파인 엔터테인먼트"
"201801","Jenga (Feat. Gaeko)","","헤이즈 (Heize)","바람","60,974,652","28","Stone Music Entertainment, Studio blu","Stone Music Entertainment"
"201801","전하지 못한 진심 (Feat. Steve Aoki)","","防弹少年团","LOVE YOURSELF 轉 `Tear`","60,531,545","29","Big Hit Entertainment","IRIVER"
"201801","별 시 (別 時)","","朴孝信","별 시 (別 時)","60,530,276","30","글러브엔터테인먼트","Stone Music Entertainment"
