album_name,album_img,album_artist,album_sale,album_circulation
The Boys,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/88B76814465A4BD5907140A4E5CB34E7.jpg,소녀시대,"385,348",지니뮤직
5집 Mr. Simple,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/78FF73A108EE4FE483624348DDE90073.jpg,슈퍼주니어 (Super Junior),"343,348",지니뮤직
`왜(Keep Your Head Down)` New Album,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/334E0D6E15D44557BE461028A2BC806B.jpg,동방신기,"263,412",지니뮤직
2집 In Heaven,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/F513A06892E441B3BBD4A20918B50E5D.jpg,JYJ,"220,442",에이앤지모즈
1집 Fiction And Fact,http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/DA81021C8F94403D92E80A3347F716EC.jpg,비스트 (Beast),"142,272",Universal Music
빅뱅 미니앨범 4집,,빅뱅,"136,594",지니뮤직
The 5th Album Repackage A-CHA,,슈퍼주니어 (Super Junior),"129,894",지니뮤직
1집 First Step,,씨엔블루 (CNBLUE),"115,467",Stone Music Entertainment
Break Down (EP),,김현중,"114,642",Stone Music Entertainment
Lucky (2nd Mini Album),,김현중,"101,705",Stone Music Entertainment
3집 Step,,카라 (Kara),"100,662",Stone Music Entertainment
Hands Up,,2PM,"100,379",로엔엔터테인먼트
빅뱅 스페셜에디션,,빅뱅,"89,371",지니뮤직
2NE1 2nd Mini Album,,2NE1,"85,819",지니뮤직
2집 Last Fantasy,,아이유 (IU),"71,860",로엔엔터테인먼트
무한도전 서해안고속도로,,Various Artists,"71,300",지니뮤직
Take A Deeper Look,,박재범,"66,316",예당컴퍼니
In Heaven (Special Edition),,JYJ,"62,790",㈜에이앤지모즈
1집 `피노키오` f(x) The 1st Album,,f(x),"61,637",지니뮤직
왜 (Keep Your Head Down) Repackage `이것만...,,동방신기,"60,205",지니뮤직
5집 Tonight,,이승기,"60,055",로엔엔터테인먼트
박칼린의 칼린 셀렉츠 (Kolleen Selects),,Various Artists,"58,734",Warner Music
정규1집 OVER THE TOP,,인피니트 (Infinite),"57,111",Stone Music Entertainment
미남이시네요 OST,,Various Artists,"56,984",Sony Music
Paradise,,인피니트 (Infinite),"56,465",Stone Music Entertainment
RETURN (EP),,FTISLAND (FT 아일랜드),"52,932",지니뮤직
미남이시네요 OST Part 2,,Various Artists,"51,556",Sony Music
Black Eyes,,티아라 (T-ara),"48,205",로엔엔터테인먼트
시크릿 가든 OST Special,,Various Artists,"47,823",Sony Music
