"album_album","album_img","album_artist","album_sale","album_circulation"
"정규1집 리패키지 XOXO (Kiss Ver.)","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/222F0253535F42028BBA73D87C5EFDA3.jpg","EXO","335,823","지니뮤직"
"I Got A Boy","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/F78C2277548A49D096F0545E2E56F40F.jpg","소녀시대","293,302","지니뮤직"
"XOXO (Kiss Ver.)","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/56A2B6EF848641CF957F32F6AD387F6F.jpg","EXO","269,597","지니뮤직"
"12월의 기적 (Miracles in December) (Korean...","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/DB37E90D19B0471784ED987D02004058.jpg","EXO","262,825","지니뮤직"
"19집 Hello","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/4419E5099A0B4154B50AEEDEBC97DE3E.jpg","조용필","250,046","Universal Music"
"쿠데타 (COUP D′ETAT)","","G-Dragon","195,603","지니뮤직"
"SHINee The 3rd Album Chapter 1. `Dream...","","샤이니 (SHINee)","185,357","지니뮤직"
"Destiny","","인피니트 (Infinite)","163,379","로엔엔터테인먼트"
"New Challenge","","인피니트 (Infinite)","162,797","로엔엔터테인먼트"
"I","","김재중 (JYJ)","148,074","에이앤지모즈"
"WWW","","김재중 (JYJ)","132,940","에이앤지모즈"
"Chapter 2 ′Why So Serious?-The Misconc...","","샤이니 (SHINee)","131,438","지니뮤직"
"The 5th Mini Album `Everybody`","","샤이니 (SHINee)","129,003","지니뮤직"
"Re_Blue","","씨엔블루 (CNBLUE)","128,026","Stone Music Entertainment"
"3집 Grown","","2PM","116,278","지니뮤직"
"Jekyll","","빅스 (VIXX)","112,259","Stone Music Entertainment"
"Round 3","","김현중","111,776","Stone Music Entertainment"
"이게 무슨 일이야","","비원에이포 (B1A4)","101,988","포니캐년코리아"
"2집 Hard To Love, How To Love","","비스트 (Beast)","101,928","Universal Music"
"Fly High","","인피니트H","93,884","로엔엔터테인먼트"
