"album_name","album_img","album_artist","album_sale","album_circulation"
"EXODUS (Korean Ver.)","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/0FDF76CD6F9E48589CA15E1BC534F32C.jpg","EXO","478,856","지니뮤직"
"Sing For You (Korean Ver.)","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/6E20A64FEFC54E489917C36402A6AA74.jpg","EXO","318,698","지니뮤직"
"LOVE ME RIGHT - The 2nd Album Repackag...","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/84527F573C344A1C9684E9C915DCBA1F.jpg","EXO","299,623","지니뮤직"
"화양연화 pt.2","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/B4EC71E5B161417AB4CA1C6EA6DE2AC5.png","방탄소년단","274,135","로엔엔터테인먼트"
"화양연화 pt.1","http://img.gaonchart.co.kr/uploadDir/aoaAlbumImg/thumb/402A9FA0939844C180DA3C9A92AAF7D8.png","방탄소년단","203,664","로엔엔터테인먼트"
"Odd - The 4th Album","","샤이니 (SHINee)","172,999","지니뮤직"
"DEVIL - SUPER JUNIOR SPECIAL ALBUM","","슈퍼주니어 (Super Junior)","167,742","지니뮤직"
"RISE AS GOD - TVXQ! SPECIAL ALBUM","","동방신기","151,625","지니뮤직"
"Reality","","인피니트 (Infinite)","148,812","로엔엔터테인먼트"
"Lion Heart - The 5th Album","","소녀시대","145,044","지니뮤직"
"M","","빅뱅","134,296","지니뮤직"
"2nd Mini Album `BOYS BE`","","세븐틴","122,784","로엔엔터테인먼트"
"I - The 1st Mini Album","","태연 (TAEYEON)","119,576","지니뮤직"
"어느 멋진 날","","정용화(Jung Yong Hwa)","115,203","Stone Music Entertainment"
"Chained Up","","빅스 (VIXX)","114,326","Stone Music Entertainment"
"E","","빅뱅","105,287","지니뮤직"
"MATRIX","","B.A.P","98,276","로엔엔터테인먼트"
"Boys′ Record","","빅스 (VIXX)","97,649","Stone Music Entertainment"
"A","","빅뱅","97,390","지니뮤직"
"MAGIC - SUPER JUNIOR SPECIAL ALBUM PAR...","","슈퍼주니어 (Super Junior)","94,983","지니뮤직"
"MAD","","GOT7","91,119","지니뮤직"
"Just right","","GOT7","90,539","지니뮤직"
"D","","빅뱅","88,131","지니뮤직"
"Ordinary","","비스트 (Beast)","87,524","Universal Music"
"Married To The Music - The 4th Album R...","","샤이니 (SHINee)","87,280","지니뮤직"
"Pink MEMORY","","에이핑크 (Apink)","84,772","로엔엔터테인먼트"
"2gether","","씨엔블루 (CNBLUE)","82,748","Stone Music Entertainment"
"2015 쇼팽 콩쿠르 우승 실황앨범","","조성진","80,636","Universal Music"
"PARTY","","소녀시대","76,385","지니뮤직"
"4 Walls - The 4th Album","","f(x)","75,625","지니뮤직"
"2nd Mini Album `27`","","김성규","75,001","로엔엔터테인먼트"
"The 1st Mini Album `BASE`","","종현 (JONGHYUN)","72,161","지니뮤직"
"SUPER JUNIOR-D&E `The Beat Goes On`","","SUPER JUNIOR-D&E (동해&은혁)","70,876","지니뮤직"
"Beautiful Liar","","빅스LR","68,437","Stone Music Entertainment"
"Flower","","XIA(준수)","67,871","로엔엔터테인먼트"
"Sweet Girl","","비원에이포 (B1A4)","65,626","로엔엔터테인먼트"
"WELCOME BACK (Half)","","iKON","65,171","지니뮤직"
"NO.5","","2PM","62,618","지니뮤직"
"Dear Santa - X-Mas Special","","소녀시대-태티서 (Girls` Generation-TTS)","60,456","지니뮤직"
"꼭 어제","","XIA(준수)","58,870","로엔엔터테인먼트"
"WE","","신화","57,808","Stone Music Entertainment"
"NATURAL BORN TEEN TOP","","틴 탑 (Teen Top)","56,940","로엔엔터테인먼트"
"Rush","","몬스타엑스","54,637","로엔엔터테인먼트"
"1st Mini Album `17 CARAT`","","세븐틴","52,738","로엔엔터테인먼트"
"WELCOME BACK (Full)","","iKON","52,312","지니뮤직"
"THE STORY BEGINS","","TWICE","49,904","지니뮤직"
"The 1st Mini Album `Ice Cream Cake`","","레드벨벳(Red Velvet)","48,815","지니뮤직"
"I WILL","","FTISLAND (FT 아일랜드)","47,767","Stone Music Entertainment"
"Complete","","비투비 (BTOB)","47,638","Universal Music"
"The Red - The 1st Album","","레드벨벳(Red Velvet)","46,571","지니뮤직"
"I Mean","","비투비 (BTOB)","46,144","Universal Music"
"다시, 가을이 오면 - The 2nd Mini Album","","규현 (KYUHYUN)","45,387","지니뮤직"
"CHAT-SHIRE","","아이유 (IU)","43,184","로엔엔터테인먼트"
"Heart Attack","","AOA","42,164","Stone Music Entertainment"
"Fly Again","","인피니트H","41,888","로엔엔터테인먼트"
"FM302","","이홍기","36,925","Stone Music Entertainment"
"The Beat Goes On` Special Edition","","SUPER JUNIOR-D&E (동해&은혁)","36,698","지니뮤직"
"품행제로","","블락비 바스타즈","33,137","Stone Music Entertainment"
"WORLDWIDE","","박재범","32,776","Stone Music Entertainment"
"TRESPASS","","몬스타엑스","31,085","로엔엔터테인먼트"
"Girl`s Day Love Second Album","","걸스데이 (Girl`s Day)","30,212","로엔엔터테인먼트"
"Skool Luv Affair","","방탄소년단","27,954","로엔엔터테인먼트"
"GALLERY","","지코 (ZICO)","26,221","Stone Music Entertainment"
"家內手工業 (가내수공업)","","M&D(미아리&단계동)","26,168","지니뮤직"
"Dark & Wild","","방탄소년단","26,147","로엔엔터테인먼트"
"종현 소품집 `이야기 Op.1`","","종현 (JONGHYUN)","24,264","지니뮤직"
"MAD Winter Edition","","GOT7","24,119","지니뮤직"
"정규1집 리패키지 XOXO (Kiss Ver.)","","EXO","24,062","지니뮤직"
"NIEL 1ST SOLO `oNIELy`","","니엘 (NIEL)","23,757","로엔엔터테인먼트"
"Crazy","","4Minute (포미닛)","22,102","Universal Music"
"So Good","","티아라 (T-ara)","20,695","윈드밀미디어"
"MY","","장현승","19,872","Stone Music Entertainment"
"Lovelyz8","","러블리즈","19,850","로엔엔터테인먼트"
"Boyfriend In Wonderland","","보이프렌드(Boyfriend)","19,789","로엔엔터테인먼트"
"AH YEAH","","EXID","19,534","Sony Music"
"SHAKE IT","","씨스타 (Sistar)","19,396","로엔엔터테인먼트"
"그리고...","","이승기","18,428","로엔엔터테인먼트"
"Pink LUV","","에이핑크 (Apink)","18,212","로엔엔터테인먼트"
"#REAL#","","전진","17,842","로엔엔터테인먼트"
"The Anecdote","","E Sens","17,775","지니뮤직"
"BRAVO!","","업텐션 (UP10TION)","17,536","로엔엔터테인먼트"
"김광석 Best","","김광석","17,449","Stone Music Entertainment"
"쎄시봉 OST","","Various Artists","17,331","Stone Music Entertainment"
"O! RUL8 ,2?","","방탄소년단","16,621","로엔엔터테인먼트"
"一級秘密 (일급비밀)","","업텐션","16,249","로엔엔터테인먼트"
"Hi~","","러블리즈","16,079","로엔엔터테인먼트"
"I am a Woman too","","민아(걸스데이)","15,471","로엔엔터테인먼트"
"The 1st Mini Album `Beautiful`","","엠버 (AMBER)","15,099","지니뮤직"
"중독 (Overdose)","","EXO-K","15,045","지니뮤직"
"시간 참 빠르다","","이승철","14,916","Stone Music Entertainment"
"`MAMA` EXO-K The 1st Mini Album","","EXO-K","14,633","지니뮤직"
"2 Cool 4 Skool","","방탄소년단","14,501","로엔엔터테인먼트"
