"title_name","title_img","title_artist_album","title_gaon_index","title_ranking","title_production","title_circulation"
"삐삐","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/8D5E77DE5984485EBB3943162BA033E0.png","아이유 (IU)|삐삐","236,213,431","1","로엔엔터테인먼트","로엔엔터테인먼트"
"하루도 그대를 사랑하지 않은 적이 없었다","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/769EA6B5A597428F8B915CEF3F926659.png","임창정|하루도 그대를 사랑하지 않은 적이 없었다","213,885,855","","NH EMG","인터파크"
"가을 타나 봐","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/0E6630DDCCDE4180958D9FB3F4349C91.png","바이브 (Vibe)|가을 타나 봐","172,895,697","","메이저나인","지니뮤직"
"Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/3C1739999BC540429ACCABFE4739D385.png","pH-1, Kid Milli, 루피 (Loopy)|쇼미더머니 777 Episode 1","164,576,530","","Stone Music Entertainment","지니뮤직"
"이별길 (GOODBYE ROAD)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/A99B30931D1A4FDAB51EFC87C6D2C2F2.png","iKON|NEW KIDS _ THE FINAL","157,116,915","","YG Entertainment","지니뮤직"
"시간이 들겠지 (Feat. Colde)","","로꼬 (LOCO)|시간이 들겠지","155,746,752","","AOMG","로엔엔터테인먼트"
"우리 그만하자","","로이킴|우리 그만하자","140,000,896","","Stone Music Entertainment","Stone Music Entertainment"
"모든 날, 모든 순간 (Every day, Every Moment)","","폴킴|`키스 먼저 할까요?` OST Part 3","133,718,813","","SM Entertainment","IRIVER"
"Way Back Home","","숀 (SHAUN)|Take","130,378,932","","디씨톰엔터테인먼트","Warner Music"
"사이렌 (Siren)","","선미|WARNING","130,223,066","","메이크어스엔터테인먼트","로엔엔터테인먼트"
"멋지게 인사하는 법 (Feat. 슬기 of Red Velvet)","","자이언티(Zion.T)|ZZZ","128,254,508","","The Black Label","지니뮤직"
"헤어지는 중","","펀치 (Punch)|헤어지는 중","123,440,025","","냠냠엔터테인먼트","로엔엔터테인먼트"
"고백","","양다일|고백","121,349,925","","브랜뉴뮤직","로엔엔터테인먼트"
"열애중","","벤 (Ben)|RECIPE","118,766,994","","메이저나인","지니뮤직"
"사임사임 (Feat. CHANGMO)","","Coogie, SUPERBEE, D.Ark|쇼미더머니 777 Episode 1","101,303,490","","Stone Music Entertainment","지니뮤직"
"IDOL","","방탄소년단|LOVE YOURSELF 結 `Answer`","96,540,435","","빅히트 엔터테인먼트","IRIVER"
"flex (Prod. By 기리보이)","","기리보이, Kid Milli, NO:EL, 스윙스 (Swings)|Dingo X Indigo Music","95,593,145","","인디고뮤직, 딩고뮤직","로엔엔터테인먼트"
"뚜두뚜두 (DDU-DU DDU-DU)","","BLACKPINK|SQUARE UP","89,642,527","","YG Entertainment","지니뮤직"
"IndiGO","","저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)|IM","83,640,014","","인디고뮤직","로엔엔터테인먼트"
"Dance The Night Away","","TWICE|Summer Nights","78,685,987","","JYP Entertainment","IRIVER"
"지나오다","","닐로 (Nilo)|About You","76,495,725","","닐로 컴퍼니","퍼플파인 엔터테인먼트"
"Power Up","","레드벨벳(Red Velvet)|Summer Magic - Summer Mini Album","73,578,191","","SM Entertainment","IRIVER"
"여행","","볼빨간사춘기|Red Diary Page.2","72,400,582","","쇼파르뮤직","로엔엔터테인먼트"
"나","","박원|r","68,803,262","","메이크어스엔터테인먼트","로엔엔터테인먼트"
"미안해","","양다일|inside","68,382,242","","브랜뉴뮤직","로엔엔터테인먼트"
"너나 해 (Egotistic)","","마마무 (Mamamoo)|RED MOON","65,802,812","","RBW","로엔엔터테인먼트"
"그때 헤어지면 돼","","로이킴|그때 헤어지면 돼","65,071,516","","Stone Music Entertainment, MMO Entertainment","Stone Music Entertainment"
"FAKE LOVE","","방탄소년단|LOVE YOURSELF 轉 `Tear`","65,035,568","","빅히트 엔터테인먼트","IRIVER"
"비","","폴킴|비","63,325,171","","뉴런뮤직","NHN벅스"
"셋 셀테니 (1, 2, 3!)","","승리|THE GREAT SEUNGRI","61,990,087","","YG Entertainment","지니뮤직"
"사랑을 했다 (LOVE SCENARIO)","","iKON|Return","61,143,712","","YG Entertainment","지니뮤직"
"동화","","멜로망스 (MeloMance)|The Fairy Tale","60,696,729","","민트페이퍼, 광합성","로엔엔터테인먼트"
"한(一)","","(여자)아이들|한(一)","60,548,439","","큐브엔터테인먼트","로엔엔터테인먼트"
"밤편지","","아이유 (IU)|밤편지","60,309,656","","페이브엔터테인먼트","로엔엔터테인먼트"
"SoulMate (Feat. 아이유)","","지코 (ZICO)|SoulMate","60,162,555","","세븐시즌스","Sony Music"
"I`m Fine","","방탄소년단|LOVE YOURSELF 結 `Answer`","59,829,835","","빅히트 엔터테인먼트","IRIVER"
"Forever Young","","BLACKPINK|SQUARE UP","59,515,576","","YG Entertainment","지니뮤직"
"가을 안부","","먼데이키즈 (Monday Kiz)|가을 안부","59,233,421","","RBW, 먼데이키즈 컴퍼니","지니뮤직"
"1도 없어","","에이핑크 (Apink)|ONE & SIX","58,814,544","","플랜에이 엔터테인먼트","로엔엔터테인먼트"
"잘 지내요","","정승환|라이프 OST Part 6","57,951,568","","씨그널엔터테인먼트그룹","지니뮤직"
"매트리스","","10cm|4.1","54,982,821","","매직스트로베리사운드","로엔엔터테인먼트"
"그날처럼","","장덕철|그날처럼","54,707,790","","리메즈","로엔엔터테인먼트"
"이별하러 가는 길","","임한별|이별하러 가는 길","54,623,459","","모스트웍스","로엔엔터테인먼트"
"선물","","멜로망스(Melomance)|Moonlight","54,029,607","","민트페이퍼, 광합성","로엔엔터테인먼트"
