"title_name","title_img","title_artist_album","title_gaon_index","title_ranking","title_production","title_circulation"
"사이렌 (Siren)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/145034D526E04CAEA18965D0FFEC4CAD.png","선미|WARNING","202,755,626","1","메이크어스엔터테인먼트","로엔엔터테인먼트"
"Way Back Home","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/209FD0570FE944879925FAA4D735BB36.png","숀 (SHAUN)|Take","165,362,284","2","디씨톰엔터테인먼트","Warner Music"
"모든 날, 모든 순간 (Every day, Every Moment)","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/55A1EA1F83DF4E2593945FF10D112A5F.png","폴킴|`키스 먼저 할까요?` OST Part 3","137,021,104","3","SM Entertainment","IRIVER"
"IDOL","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/3DE7A4752CB946289A5AF60DC8E524BD.jpg","방탄소년단|LOVE YOURSELF 結 `Answer`","135,553,913","4","빅히트 엔터테인먼트","IRIVER"
"헤어지는 중","http://img.gaonchart.co.kr/uploadDir/albumImg/thumb/3AC81D75C255470A8361538F61B4781E.png","펀치 (Punch)|헤어지는 중","131,638,751","5","냠냠엔터테인먼트","로엔엔터테인먼트"
"열애중","","벤 (Ben)|RECIPE","124,974,173","6","메이저나인","지니뮤직"
"뚜두뚜두 (DDU-DU DDU-DU)","","BLACKPINK|SQUARE UP","116,428,898","7","YG Entertainment","지니뮤직"
"Power Up","","레드벨벳(Red Velvet)|Summer Magic - Summer Mini Album","114,875,050","8","SM Entertainment","IRIVER"
"하루도 그대를 사랑하지 않은 적이 없었다","","임창정|하루도 그대를 사랑하지 않은 적이 없었다","113,912,239","9","NH EMG","인터파크"
"우리 그만하자","","로이킴|우리 그만하자","112,412,749","10","Stone Music Entertainment","Stone Music Entertainment"
"Dance The Night Away","","TWICE|Summer Nights","107,788,488","11","JYP Entertainment","IRIVER"
"한(一)","","(여자)아이들|한(一)","95,573,443","12","큐브엔터테인먼트","로엔엔터테인먼트"
"몰랐니 (Lil’ Touch)","","소녀시대-Oh!GG|몰랐니 - The 1st Single Album","94,059,807","13","SM Entertainment","IRIVER"
"너나 해 (Egotistic)","","마마무 (Mamamoo)|RED MOON","93,225,348","14","RBW","로엔엔터테인먼트"
"여행","","볼빨간사춘기|Red Diary Page.2","88,730,271","15","쇼파르뮤직","로엔엔터테인먼트"
"매트리스","","10cm|4.1","87,243,816","16","매직스트로베리사운드","로엔엔터테인먼트"
"SoulMate (Feat. 아이유)","","지코 (ZICO)|SoulMate","86,566,256","17","세븐시즌스","Sony Music"
"지나오다","","닐로 (Nilo)|About You","82,543,861","18","닐로 컴퍼니","퍼플파인 엔터테인먼트"
"1도 없어","","에이핑크 (Apink)|ONE & SIX","79,070,869","19","플랜에이 엔터테인먼트","로엔엔터테인먼트"
"I`m Fine","","방탄소년단|LOVE YOURSELF 結 `Answer`","77,401,589","20","빅히트 엔터테인먼트","IRIVER"
"Forever Young","","BLACKPINK|SQUARE UP","76,195,516","21","YG Entertainment","지니뮤직"
"YOUNG","","백현 (BAEKHYUN), 로꼬|YOUNG","75,175,631","22","SM Entertainment","IRIVER"
"셋 셀테니 (1, 2, 3!)","","승리|THE GREAT SEUNGRI","74,242,700","23","YG Entertainment","지니뮤직"
"FAKE LOVE","","방탄소년단|LOVE YOURSELF 轉 `Tear`","73,057,112","24","빅히트 엔터테인먼트","IRIVER"
"동화","","멜로망스 (MeloMance)|The Fairy Tale","70,996,799","25","민트페이퍼, 광합성","로엔엔터테인먼트"
"Euphoria","","방탄소년단|LOVE YOURSELF 結 `Answer`","64,962,160","26","빅히트 엔터테인먼트","IRIVER"
"사랑을 했다 (LOVE SCENARIO)","","iKON|Return","64,386,807","27","YG Entertainment","지니뮤직"
"그때 헤어지면 돼","","로이킴|그때 헤어지면 돼","63,743,557","28","Stone Music Entertainment, MMO Entertainment","Stone Music Entertainment"
"주지마","","로꼬, 화사|건반 위의 하이에나 Part.4","62,824,473","29","한국방송공사","로엔엔터테인먼트"
"flex (Prod. By 기리보이)","","기리보이, Kid Milli, NO:EL, 스윙스 (Swings)|Dingo X Indigo Music","62,571,477","30","인디고뮤직, 딩고뮤직","로엔엔터테인먼트"
"미안해","","양다일|inside","61,888,522","31","브랜뉴뮤직","로엔엔터테인먼트"
"비","","폴킴|비","61,824,871","32","뉴런뮤직","NHN벅스"
"Love U","","청하|Blooming Blue","61,275,076","33","MNH Entertainment","Stone Music Entertainment"
"죽겠다 (KILLING ME)","","iKON|NEW KIDS _ CONTINUE","60,963,038","34","YG Entertainment","지니뮤직"
"NOAH (Feat. 박재범, Hoody)","","김하온 (HAON)|TRAVEL_ NOAH","60,928,939","35","H1GHR MUSIC","Stone Music Entertainment"
"너 없인 안 된다","","비투비 (BTOB)|THIS IS US","59,434,789","36","큐브엔터테인먼트","로엔엔터테인먼트"
"그날처럼","","장덕철|그날처럼","58,031,424","37","리메즈","로엔엔터테인먼트"
"You","","멜로망스(MeloMance)|투유 프로젝트 - 슈가맨2 Part.2","57,290,101","38","JTBC","인터파크"
"가을 안부","","먼데이키즈 (Monday Kiz)|가을 안부","55,235,935","39","RBW, 먼데이키즈 컴퍼니","지니뮤직"
"밤편지","","아이유 (IU)|밤편지","53,815,445","40","페이브엔터테인먼트","로엔엔터테인먼트"
"선물","","멜로망스(Melomance)|Moonlight","53,792,299","41","민트페이퍼, 광합성","로엔엔터테인먼트"
"왜 몰랐을까","","로이킴|아는 와이프 OST Part 3","53,467,360","42","Stone Music Entertainment","Stone Music Entertainment"
"잘 지내요","","정승환|라이프 OST Part 6","52,018,653","43","씨그널엔터테인먼트그룹","지니뮤직"
"밤 (Time for the moon night)","","여자친구 (GFRIEND)|여자친구 The 6th Mini Album `Time for the ...","50,738,795","44","쏘스뮤직","로엔엔터테인먼트"
"봄날","","방탄소년단|YOU NEVER WALK ALONE","50,260,843","45","빅히트 엔터테인먼트","IRIVER"
"전하지 못한 진심 (Feat. Steve Aoki)","","방탄소년단|LOVE YOURSELF 轉 `Tear`","50,254,505","46","빅히트 엔터테인먼트","IRIVER"
"넋두리","","닐로 (Nilo)|넋두리","49,973,844","47","닐로엔터테인먼트","퍼플파인 엔터테인먼트"
"My Way","","이수|돈꽃 OST Part 1","49,862,206","48","윈드밀이엔티, 뮤직버디","뮤직앤뉴"
"Answer _ Love Myself","","방탄소년단|LOVE YOURSELF 結 `Answer`","48,941,829","49","빅히트 엔터테인먼트","IRIVER"
"BAAM","","모모랜드 (MOMOLAND)|Fun to The World","48,553,163","50","엠엘디엔터테인먼트,로엔엔터테인먼트","로엔엔터테인먼트"
"DNA","","방탄소년단|LOVE YOURSELF 承 `Her`","48,521,564","51","빅히트 엔터테인먼트","IRIVER"
"뿜뿜","","모모랜드 (MOMOLAND)|GREAT!","47,987,139","52","엠엘디엔터테인먼트,로엔엔터테인먼트","로엔엔터테인먼트"
"별이 빛나는 밤","","마마무 (Mamamoo)|Yellow Flower","47,959,450","53","RBW","로엔엔터테인먼트"
"좋은 날","","멜로망스 (MeloMance)|미스터 션샤인 OST Part 5","46,424,316","54","Stone Music Entertainment, 화앤담픽쳐스","Stone Music Entertainment"
"Roller Coaster","","청하|Offset","45,292,961","55","MNH Entertainment","Stone Music Entertainment"
"What is Love?","","TWICE|What is Love?","45,193,264","56","JYP Entertainment","IRIVER"
"소나기 (Feat. 10cm)","","용준형|소나기","43,929,159","57","어라운드 어스","로엔엔터테인먼트"
"LATATA","","(여자)아이들|I am","43,411,927","58","큐브엔터테인먼트","로엔엔터테인먼트"
"붕붕 (Feat. Sik-K) (Prod. GroovyRoom)","","김하온 (HAON)|고등래퍼2 Final","43,323,353","59","Stone Music Entertainment","Stone Music Entertainment"
"Epiphany","","방탄소년단|LOVE YOURSELF 結 `Answer`","42,168,745","60","빅히트 엔터테인먼트","IRIVER"
"비도 오고 그래서 (Feat. 신용재)","","헤이즈 (Heize)|/// (너 먹구름 비)","40,845,383","61","Stone Music Entertainment","Stone Music Entertainment"
"여름여름해 (Sunny Summer)","","여자친구 (GFRIEND)|Summer Mini Album `Sunny Summer`","40,208,585","62","쏘스뮤직","로엔엔터테인먼트"
"그리워하다","","비투비 (BTOB)|Brother Act.","39,363,418","63","큐브엔터테인먼트","로엔엔터테인먼트"
"Trivia 轉 _ Seesaw","","방탄소년단|LOVE YOURSELF 結 `Answer`","37,651,769","64","빅히트 엔터테인먼트","IRIVER"
"이 별","","길구봉구|Star","37,339,216","65","뮤직웍스","지니뮤직"
"불꽃놀이 (Remember Me)","","오마이걸 (OH MY GIRL)|6th Mini Album `REMEMBER ME`","36,920,656","66","WM엔터테인먼트","로엔엔터테인먼트"
"A-TEEN","","세븐틴|A-TEEN Part 3","36,833,008","67","PLAYLIST","로엔엔터테인먼트"
"꽃 길","","빅뱅|꽃 길","35,271,422","68","YG Entertainment","지니뮤직"
"빙글뱅글 (Bingle Bangle)","","AOA|BINGLE BANGLE","35,191,419","69","FNC엔터테인먼트","로엔엔터테인먼트"
"Anpanman","","방탄소년단|LOVE YOURSELF 轉 `Tear`","34,093,320","70","빅히트 엔터테인먼트","IRIVER"
"Trivia 起 _ Just Dance","","방탄소년단|LOVE YOURSELF 結 `Answer`","33,779,417","71","빅히트 엔터테인먼트","IRIVER"
"빨간 맛 (Red Flavor)","","레드벨벳(Red Velvet)|The Red Summer - Summer Mini Album","33,506,373","72","SM Entertainment","IRIVER"
"See You Again (Feat. 리처드 용재 오닐)","","백지영|미스터 션샤인 OST Part 11","33,215,733","73","Stone Music Entertainment, 화앤담픽쳐스","Stone Music Entertainment"
"가을 타나 봐","","바이브 (Vibe)|가을 타나 봐","32,740,653","74","메이저나인","지니뮤직"
"첫눈처럼 너에게 가겠다","","에일리 (Ailee)|도깨비 OST Part 9","31,919,849","75","Stone Music Entertainment, 화앤담픽쳐스","Stone Music Entertainment"
"에너제틱 (Energetic)","","Wanna One (워너원)|1X1=1(TO BE ONE)","31,647,085","76","YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT","Stone Music Entertainment"
"좋니","","윤종신|LISTEN 010 좋니","31,363,722","77","미스틱 엔터테인먼트","로엔엔터테인먼트"
"마지막처럼","","BLACKPINK|마지막처럼","31,268,275","78","YG Entertainment","지니뮤직"
"Rumor","","국.슈 (국프의 핫이슈)|PRODUCE 48 - 30 Girls 6 Concepts","30,870,007","79","Stone Music Entertainment","Stone Music Entertainment"
"Trivia 承 _ Love","","방탄소년단|LOVE YOURSELF 結 `Answer`","30,433,683","80","빅히트 엔터테인먼트","IRIVER"
"IndiGO","","저스디스 (JUSTHIS), Kid Milli, NO:EL, 영비 (Young B)|IM","30,165,770","81","인디고뮤직","로엔엔터테인먼트"
"Universe","","EXO|Universe - 겨울 스페셜 앨범, 2017","29,088,566","82","SM Entertainment","IRIVER"
"밤이 되니까","","펀치 (Punch)|밤이 되니까","28,575,294","83","냠냠엔터테인먼트","Stone Music Entertainment"
"어쩌나","","세븐틴|5TH MINI ALBUM `YOU MAKE MY DAY`","28,440,507","84","플레디스","로엔엔터테인먼트"
"Lullaby","","GOT7|Present _ YOU","27,804,732","85","JYP Entertainment","IRIVER"
"Airplane pt.2","","방탄소년단|LOVE YOURSELF 轉 `Tear`","27,470,471","86","빅히트 엔터테인먼트","IRIVER"
"도망가지마","","모트 (Motte)|A-TEEN Part 4","26,971,908","87","PLAYLIST","로엔엔터테인먼트"
"켜줘 (Light)","","Wanna One (워너원)|1÷χ=1 (UNDIVIDED)","26,706,011","88","SWING Entertainment, Stone Music Entertainment","Stone Music Entertainment"
"캥거루 (Kangaroo) (Prod. ZICO)","","Wanna One (워너원) - 트리플포지션|1÷χ=1 (UNDIVIDED)","26,425,540","89","SWING Entertainment, Stone Music Entertainment","Stone Music Entertainment"
"장마","","마마무 (Mamamoo)|장마","26,422,511","90","RBW","로엔엔터테인먼트"
"시차 (We Are) (Feat. 로꼬 & GRAY)","","우원재|시차 (We Are)","26,203,502","91","AOMG","Stone Music Entertainment"
"Beautiful","","Wanna One (워너원)|1-1=0 (NOTHING WITHOUT YOU)","25,314,631","92","YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT","Stone Music Entertainment"
"all of my life","","박원|0M","25,289,820","93","메이크어스엔터테인먼트","로엔엔터테인먼트"
"마치 우린 없었던 사이 (Prod. 정키)","","다비치|마치 우린 없었던 사이 (Prod. 정키)","24,682,709","94","Stone Music Entertainment","Stone Music Entertainment"
"We Go Up","","NCT DREAM|We Go Up - The 2nd Mini Album","24,434,489","95","SM Entertainment","IRIVER"
"BOOMERANG (부메랑)","","Wanna One (워너원)|0+1=1 (I PROMISE YOU)","24,020,817","96","YMC엔터테인먼트, STONE MUSIC ENTERTAINMENT","Stone Music Entertainment"
"가을 아침","","아이유 (IU)|꽃갈피 둘","23,696,354","97","페이브엔터테인먼트","로엔엔터테인먼트"
"폰서트","","10cm|4.0","23,498,140","98","매직스트로베리사운드","로엔엔터테인먼트"
"Cereal (Feat. ZICO)","","크러쉬 (CRUSH)|wonderlost","23,140,232","99","아메바컬쳐","Stone Music Entertainment"
"花요일 (Blooming Day)","","EXO-CBX (첸백시)|Blooming Days - The 2nd Mini Album","23,016,163","100","SM Entertainment","IRIVER"
